video_id,content_type,target_query,transcript_kind,clip_index,t_start,t_end,duration_sec,label,boundary_quality,whisper_first_word,whisper_last_word,start_precision_ms,end_precision_ms,starts_mid_word,ends_mid_sentence,starts_on_filler,is_usable,error
UF8uR6Z6KLc,speech,stay hungry stay foolish,manual,6,838.73,861.49,22.75999999999999,,whisper-word,their,myself.,39.99999999996362,100.00000000002274,False,False,False,True,
iG9CE55wbtY,speech,creativity in schools,manual,1,181.97,202.81,20.840000000000003,Work Education,whisper-word,you,status.,99.99999999999432,99.99999999999432,False,False,False,True,
iG9CE55wbtY,speech,creativity in schools,manual,2,181.97,204.71,22.74000000000001,,whisper-word,you,you.,99.99999999999432,40.000000000020464,False,False,False,True,
iG9CE55wbtY,speech,creativity in schools,manual,3,181.97,211.64,29.669999999999987,,whisper-word,you,very,99.99999999999432,60.000000000002274,False,True,False,False,
iG9CE55wbtY,speech,creativity in schools,manual,4,181.97,215.93,33.96000000000001,,whisper-word,you,left.,99.99999999999432,90.00000000000341,False,False,False,True,
iG9CE55wbtY,speech,creativity in schools,manual,5,345.98,394.94,48.95999999999998,Boy Said Drawing Wrong,whisper-word,I,this?,19.99999999998181,60.000000000002274,False,False,False,True,
iG9CE55wbtY,speech,creativity in schools,manual,6,505.06,558.94,53.88000000000005,You'd Conclude Every,whisper-word,was,the,50.00000000001137,50.00000000006821,False,True,False,False,
iG9CE55wbtY,speech,creativity in schools,manual,7,705.96,757.42,51.45999999999992,View Intelligence Process,whisper-word,going,"Suddenly,",59.99999999994543,19.999999999868123,False,True,False,False,
iG9CE55wbtY,speech,creativity in schools,manual,8,827.47,850.33,22.860000000000014,Room She's Gillian,sentence,is,saying,9.999999999990905,9.999999999990905,False,True,False,False,
iG9CE55wbtY,speech,creativity in schools,manual,9,1042.52,1065.6,23.079999999999927,Royal Ballet,sentence,auditioned,"Now,",19.99999999998181,359.99999999989996,False,True,False,False,
iCvmsMzlF7o,speech,vulnerability shame,manual,1,295.7,339.35,43.650000000000034,,whisper-word,things,so,40.000000000020464,60.00000000005912,False,True,False,False,
iCvmsMzlF7o,speech,vulnerability shame,manual,2,298.86,353.03,54.16999999999996,,whisper-word,who,it.,19.99999999998181,69.99999999993634,False,False,False,True,
iCvmsMzlF7o,speech,vulnerability shame,manual,3,309.91,339.35,29.439999999999998,Strong Sense Enough,whisper-word,this,so,1000.0,40.000000000020464,True,True,False,False,
iCvmsMzlF7o,speech,vulnerability shame,manual,4,309.91,338.27,28.359999999999957,,whisper-word,this,hate,1000.0,39.99999999996362,True,True,False,False,
iCvmsMzlF7o,speech,vulnerability shame,manual,5,553.81,592.26,38.450000000000045,Control Predict Courage Willingness,whisper-word,had,vulnerability,39.99999999996362,80.00000000004093,False,True,False,False,
iCvmsMzlF7o,speech,vulnerability shame,manual,6,851.13,871.38,20.25,Said Therapist Breakdown,heuristic-strong,the,vulnerability?,159.99999999996817,750.0,False,False,False,False,
iCvmsMzlF7o,speech,vulnerability shame,manual,7,958.25,1005.36,47.110000000000014,Numb Perfect Look,whisper-word,Here's,muffin.,19.99999999998181,29.999999999972715,False,False,False,True,
iCvmsMzlF7o,speech,vulnerability shame,manual,8,1145.54,1194.07,48.52999999999997,We're Kinder Seen,sentence,there's,enough.,140.00000000010004,559.9999999999454,True,False,False,False,
8KkKuTCFvzI,speech,good life relationships,manual,1,61.07,95.53,34.46,We've Tracked Asking Most,whisper-word,given,creative,49.99999999999716,129.99999999999545,False,True,False,False,
8KkKuTCFvzI,speech,good life relationships,manual,2,370.61,406.99,36.379999999999995,,whisper-word,clearest,connected.,50.00000000001137,69.99999999999318,False,False,False,True,
8KkKuTCFvzI,speech,good life relationships,manual,3,370.63,392.27,21.639999999999986,These Lives Lonely,whisper-word,clearest,kills.,29.999999999972715,29.999999999972715,False,False,False,True,
8KkKuTCFvzI,speech,good life relationships,manual,4,506.96,553.1,46.14000000000004,Count Other Relationships,whisper-word,The,brains.,60.000000000002274,40.00000000007731,False,False,False,True,
8KkKuTCFvzI,speech,good life relationships,manual,5,651.76,678.74,26.980000000000018,You're You're Might,whisper-word,like,community.,39.99999999996362,39.99999999996362,False,False,True,False,
