video_id,content_type,target_query,transcript_kind,clip_index,t_start,t_end,duration_sec,label,boundary_quality,whisper_first_word,whisper_last_word,start_precision_ms,end_precision_ms,starts_mid_word,ends_mid_sentence,starts_on_filler,is_usable,error
WUvTyaaNkzM,lecture,essence of calculus,manual,1,14.86,35.84,20.980000000000004,Might Lead Maybe Radius,whisper-word,Hey,specifically.,39.99999999999915,40.00000000000625,False,False,False,True,
WUvTyaaNkzM,lecture,essence of calculus,manual,2,14.86,56.74,41.88,,whisper-word,Hey,yourself.,39.99999999999915,80.0000000000054,False,False,False,True,
WUvTyaaNkzM,lecture,essence of calculus,manual,3,16.89,41.87,24.979999999999997,,whisper-word,This,memorized.,39.99999999999915,59.99999999999517,False,False,False,True,
WUvTyaaNkzM,lecture,essence of calculus,manual,4,218.6,246.39,27.789999999999992,These Rectangles,sentence,even,rings.,30.000000000001137,280.00000000000114,False,False,False,True,
WUvTyaaNkzM,lecture,essence of calculus,manual,5,419.59,443.88,24.29000000000002,Original Problem Underneath,whisper-word,So,3.,60.000000000002274,40.000000000020464,True,False,True,False,
WUvTyaaNkzM,lecture,essence of calculus,manual,6,640.18,689.22,49.04000000000008,Mystery Function Change,whisper-word,Calculus,wall.,80.00000000004093,40.00000000007731,False,False,False,True,
WUvTyaaNkzM,lecture,essence of calculus,manual,7,945.13,970.03,24.899999999999977,Slight Nudge Derivatives Derivative,whisper-word,of,explorations.,39.99999999996362,39.99999999996362,False,False,False,True,
aircAruvnKk,lecture,neural network,manual,1,67.21,105.83,38.620000000000005,Neural Network Number,whisper-word,you've,digits.,79.9999999999983,40.00000000000625,True,False,False,False,
aircAruvnKk,lecture,neural network,manual,2,67.23,100.15,32.92,,whisper-word,you've,learning.,49.99999999999716,90.00000000000341,False,False,False,True,
aircAruvnKk,lecture,neural network,manual,3,85.01,138.99,53.980000000000004,,whisper-word,hope,frills.,40.00000000000625,19.99999999998181,False,False,False,True,
aircAruvnKk,lecture,neural network,manual,4,273.19,303.21,30.019999999999982,Loop Top,whisper-word,way,that.,19.99999999998181,39.99999999996362,False,False,False,True,
aircAruvnKk,lecture,neural network,manual,5,697.98,749.76,51.77999999999997,Weighted Sum Weights Other,whisper-word,Every,ways.,39.99999999996362,79.99999999992724,False,False,False,True,
aircAruvnKk,lecture,neural network,manual,6,762.61,793.95,31.340000000000032,Write Down Vector Matrix,whisper-word,thought,improve,39.99999999996362,40.00000000007731,False,True,False,False,
aircAruvnKk,lecture,neural network,manual,7,974.94,1007.66,32.719999999999914,Take Challenge Relu,whisper-word,How,you.,39.99999999996362,19.999999999868123,False,False,False,True,
IHZwWFHWa-w,lecture,gradient descent,manual,1,12.99,60.65,47.66,Weighted Sum Digit,whisper-word,The,bias.,19.999999999999574,59.99999999999517,False,False,False,True,
IHZwWFHWa-w,lecture,gradient descent,manual,2,428.71,473.41,44.700000000000045,,whisper-word,instead,is.,40.000000000020464,60.00000000005912,False,False,False,True,
IHZwWFHWa-w,lecture,gradient descent,manual,3,442.25,480.19,37.94,,whisper-word,And,topic.,19.99999999998181,40.000000000020464,False,False,False,True,
IHZwWFHWa-w,lecture,gradient descent,manual,4,442.27,465.75,23.480000000000018,Negative Gradient Slope Over,whisper-word,And,quickly.,0.0,40.000000000020464,False,False,False,True,
IHZwWFHWa-w,lecture,gradient descent,manual,5,679.36,722.16,42.799999999999955,Network Doing Changes Matter,whisper-word,a,direction,39.99999999996362,40.00000000007731,False,True,False,False,
IHZwWFHWa-w,lecture,gradient descent,manual,6,893.76,913.81,20.049999999999955,Properly Labeled,sentence,It,image.,299.9999999999545,309.99999999994543,False,False,False,True,
IHZwWFHWa-w,lecture,gradient descent,manual,7,1101.6,1134.38,32.7800000000002,These Networks Year,sentence,the,accuracy,519.9999999999818,100.00000000013642,True,True,False,False,
d4EgbgTm0Bg,lecture,quaternions,manual,1,21.85,43.63,21.78,Four Dimensional,whisper-word,are,mechanics.,50.00000000000071,30.000000000001137,False,False,False,True,
d4EgbgTm0Bg,lecture,quaternions,manual,2,130.89,174.27,43.380000000000024,,whisper-word,even,mechanics.,39.99999999999204,59.99999999997385,False,False,False,True,
d4EgbgTm0Bg,lecture,quaternions,manual,3,169.23,205.33,36.10000000000002,,whisper-word,The,elsewhere.,80.0000000000125,40.000000000020464,False,False,False,True,
d4EgbgTm0Bg,lecture,quaternions,manual,4,169.57,214.55,44.98000000000002,,whisper-word,century,multiplication.,39.99999999999204,19.99999999998181,False,False,False,True,
d4EgbgTm0Bg,lecture,quaternions,manual,5,175.27,214.61,39.34,,whisper-word,the,multiplication.,39.99999999999204,0.0,False,False,False,True,
d4EgbgTm0Bg,lecture,quaternions,manual,6,234.46,264.6,30.140000000000015,Times Equals,whisper-word,structure,numbers.,159.9999999999966,40.000000000020464,True,False,False,False,
d4EgbgTm0Bg,lecture,quaternions,manual,7,440.1,461.05,20.94999999999999,Projected Points,sentence,in,space.,120.00000000000455,430.0000000000068,True,False,False,False,
d4EgbgTm0Bg,lecture,quaternions,manual,8,678.19,711.37,33.17999999999995,Real Number,whisper-word,the,direction.,59.99999999994543,39.99999999996362,True,False,False,False,
d4EgbgTm0Bg,lecture,quaternions,manual,9,892.71,927.63,34.91999999999996,Felix Sees,whisper-word,more,Felix.,360.00000000001364,19.99999999998181,True,False,False,False,
d4EgbgTm0Bg,lecture,quaternions,manual,10,1072.5,1125.42,52.92000000000007,Quaternion Multiplication Imaginary,whisper-word,of,products.,200.00000000004547,19.99999999998181,True,False,False,False,
d4EgbgTm0Bg,lecture,quaternions,manual,11,1291.71,1345.65,53.940000000000055,Passing Through Represents,whisper-word,The,"picture,",39.99999999996362,59.99999999994543,False,True,False,False,
d4EgbgTm0Bg,lecture,quaternions,manual,12,1600.83,1638.39,37.56000000000017,Gets Rotated,whisper-word,Under,left.,59.99999999994543,40.000000000190994,False,False,False,True,
d4EgbgTm0Bg,lecture,quaternions,manual,13,1807.81,1840.41,32.600000000000136,Left Hand Acting,whisper-word,So,rotation.,39.99999999996362,20.000000000209184,False,False,True,False,
b7FxPsqfkOY,lecture,complex numbers,manual,1,17.18,51.74,34.56,Varying Signs Topic Squared,whisper-word,"So,",other.,39.99999999999915,39.99999999999915,False,False,True,False,
b7FxPsqfkOY,lecture,complex numbers,manual,2,194.77,220.01,25.23999999999998,Output Space,whisper-word,For,options.,80.0000000000125,39.99999999999204,False,False,False,True,
b7FxPsqfkOY,lecture,complex numbers,manual,3,449.36,470.57,21.20999999999998,Through Every Boundary,sentence,"also,",dimensions?,189.99999999999773,159.99999999996817,True,False,False,False,
b7FxPsqfkOY,lecture,complex numbers,manual,4,1004.45,1044.13,39.680000000000064,Winding Numbers,whisper-word,"Alright,",paths.,19.99999999998181,60.000000000172804,False,False,True,False,
b7FxPsqfkOY,lecture,complex numbers,manual,5,1205.17,1227.93,22.75999999999999,Winding Number,whisper-word,once,plane.,39.99999999996362,39.99999999996362,False,False,False,True,
b7FxPsqfkOY,lecture,complex numbers,manual,6,1205.17,1234.45,29.279999999999973,,whisper-word,once,five.,39.99999999996362,119.99999999989086,False,False,False,True,
b7FxPsqfkOY,lecture,complex numbers,manual,7,1213.69,1241.95,28.25999999999999,,whisper-word,I,loops.,39.99999999996362,39.99999999996362,False,False,False,True,
b7FxPsqfkOY,lecture,complex numbers,manual,8,1291.61,1319.63,28.02000000000021,,whisper-word,complex,loop.,39.99999999996362,30.00000000020009,False,False,False,True,
UF8uR6Z6KLc,speech,stay hungry stay foolish,manual,1,7.47,32.72,25.25,Never Graduated College Out,sentence,program,world.,120.00000000000011,899.9999999999986,True,False,False,False,
UF8uR6Z6KLc,speech,stay hungry stay foolish,manual,2,451.42,469.95,18.529999999999973,Only Truly,sentence,five,remarkable,9.999999999990905,10.000000000047748,False,True,False,False,
UF8uR6Z6KLc,speech,stay hungry stay foolish,manual,3,642.91,663.56,20.649999999999977,Whole Earth Means,sentence,It,Later,179.99999999994998,80.00000000004093,False,True,False,False,
UF8uR6Z6KLc,speech,stay hungry stay foolish,manual,4,838.73,871.59,32.860000000000014,Stay Hungry,whisper-word,their,very,39.99999999996362,100.00000000002274,False,True,False,False,
UF8uR6Z6KLc,speech,stay hungry stay foolish,manual,5,838.73,859.43,20.699999999999932,,whisper-word,their,I,39.99999999996362,100.00000000002274,False,True,False,False,
